,zip_code,latitude,longitude,city,state,county,digit
12420,29205,33.987555,-81.000013,Columbia,SC,Richland,2
12421,29206,34.030004,-80.951029,Columbia,SC,Richland,2
12422,29207,34.019740000000006,-80.939131,Columbia,SC,Richland,2
12423,29208,33.993705,-81.019913,Columbia,SC,Richland,2
12424,29209,33.944163,-80.94259699999999,Columbia,SC,Richland,2
12425,29210,33.981468,-80.993483,Columbia,SC,Richland,2
12426,29211,34.096716,-80.922338,Columbia,SC,Richland,2
12427,29212,34.020988,-81.197778,Columbia,SC,Lexington,2
12428,29214,34.005992,-80.970766,Columbia,SC,Richland,2
12429,29215,34.005992,-80.970766,Columbia,SC,Richland,2
12430,29216,34.005992,-80.970766,Columbia,SC,Richland,2
12431,29217,34.005992,-80.970766,Columbia,SC,Richland,2
12432,29218,34.005992,-80.970766,Columbia,SC,Richland,2
12433,29219,34.005992,-80.970766,Columbia,SC,Richland,2
12434,29220,34.005992,-80.970766,Columbia,SC,Richland,2
12435,29221,34.005992,-80.970766,Columbia,SC,Richland,2
12436,29222,34.005992,-80.970766,Columbia,SC,Richland,2
12437,29223,34.099488,-80.924638,Columbia,SC,Richland,2
12438,29224,34.005992,-80.970766,Columbia,SC,Richland,2
12439,29225,34.005992,-80.970766,Columbia,SC,Richland,2
12440,29226,34.005992,-80.970766,Columbia,SC,Richland,2
12441,29227,34.005992,-80.970766,Columbia,SC,Richland,2
12442,29228,33.925183000000004,-81.248345,Columbia,SC,Lexington,2
12443,29229,34.122659999999996,-80.884194,Columbia,SC,Richland,2
12444,29230,34.107483,-81.062623,Columbia,SC,Richland,2
12445,29240,34.005992,-80.970766,Columbia,SC,Richland,2
12446,29250,34.005992,-80.970766,Columbia,SC,Richland,2
12447,29260,34.005992,-80.970766,Columbia,SC,Richland,2
12448,29290,34.005992,-80.970766,Columbia,SC,Richland,2
12449,29292,34.005992,-80.970766,Columbia,SC,Richland,2
12450,29301,35.011309000000004,-81.993403,Spartanburg,SC,Spartanburg,2
12451,29302,34.893907,-81.83404,Spartanburg,SC,Spartanburg,2
12452,29303,34.980315999999995,-81.91677800000001,Spartanburg,SC,Spartanburg,2
12453,29304,34.916625,-81.863874,Spartanburg,SC,Spartanburg,2
12454,29305,35.111404,-82.105503,Spartanburg,SC,Spartanburg,2
12455,29306,34.899493,-81.86309,Spartanburg,SC,Spartanburg,2
12456,29307,35.058097,-81.98003,Spartanburg,SC,Spartanburg,2
12457,29316,35.030481,-81.979347,Spartanburg,SC,Spartanburg,2
12458,29318,34.888237,-81.96902,Spartanburg,SC,Spartanburg,2
12459,29319,34.888237,-81.96902,Spartanburg,SC,Spartanburg,2
12460,29320,34.95717,-81.991626,Arcadia,SC,Spartanburg,2
12461,29321,34.720999,-81.733884,Buffalo,SC,Union,2
12462,29322,35.113668,-82.040137,Campobello,SC,Spartanburg,2
12463,29323,35.109575,-82.010515,Chesnee,SC,Spartanburg,2
12464,29324,34.990559999999995,-81.83270999999999,Clifton,SC,Spartanburg,2
12465,29325,34.43492,-81.893558,Clinton,SC,Laurens,2
12466,29329,35.001748,-81.832999,Converse,SC,Spartanburg,2
12467,29330,35.049209999999995,-81.83128,Cowpens,SC,Spartanburg,2
12468,29331,34.638315000000006,-81.85674499999999,Cross Anchor,SC,Spartanburg,2
12469,29332,34.281449,-81.977214,Cross Hill,SC,Laurens,2
12470,29333,34.968472,-81.906376,Drayton,SC,Spartanburg,2
12471,29334,34.935427000000004,-81.992532,Duncan,SC,Spartanburg,2
12472,29335,34.749045,-81.88294300000001,Enoree,SC,Spartanburg,2
12473,29336,34.888237,-81.96902,Fairforest,SC,Spartanburg,2
12474,29338,34.999396999999995,-82.057103,Fingerville,SC,Spartanburg,2
12475,29340,35.00549,-81.63383,Gaffney,SC,Cherokee,2
12476,29341,35.099884,-81.705609,Gaffney,SC,Cherokee,2
12477,29342,34.996314,-81.652395,Gaffney,SC,Cherokee,2
12478,29346,35.044719,-81.977324,Glendale,SC,Spartanburg,2
12479,29348,34.888237,-81.96902,Gramling,SC,Spartanburg,2
12480,29349,35.075367,-82.02964,Inman,SC,Spartanburg,2
12481,29351,34.415357,-81.804172,Joanna,SC,Laurens,2
12482,29353,34.81248,-81.64305999999999,Jonesville,SC,Union,2
12483,29355,34.35512,-81.65907,Kinards,SC,Newberry,2
12484,29356,35.146058000000004,-82.153545,Landrum,SC,Spartanburg,2
12485,29360,34.528882,-82.055091,Laurens,SC,Laurens,2
12486,29364,34.792590000000004,-81.47784300000001,Lockhart,SC,Union,2
12487,29365,35.006816,-81.985214,Lyman,SC,Spartanburg,2
12488,29368,34.949241,-81.990216,Mayo,SC,Spartanburg,2
12489,29369,34.970096999999996,-82.02731999999999,Moore,SC,Spartanburg,2
12490,29370,34.375065,-81.967088,Mountville,SC,Laurens,2
12491,29372,34.889502,-81.77395200000001,Pacolet,SC,Spartanburg,2
12492,29373,34.912385,-81.748663,Pacolet Mills,SC,Spartanburg,2
12493,29374,34.887498,-81.944611,Pauline,SC,Spartanburg,2
12494,29375,34.863648,-82.11014899999999,Reidville,SC,Spartanburg,2
12495,29376,34.829502000000005,-81.94724699999999,Roebuck,SC,Spartanburg,2
12496,29377,34.987543,-82.135145,Startex,SC,Spartanburg,2
12497,29378,34.853013,-81.772738,Una,SC,Spartanburg,2
12498,29379,34.700463,-81.647687,Union,SC,Union,2
12499,29384,34.335762,-82.095499,Waterloo,SC,Laurens,2
12500,29385,34.834143,-82.009137,Wellford,SC,Spartanburg,2
12501,29386,34.888237,-81.96902,White Stone,SC,Spartanburg,2
12502,29388,34.890526,-81.991496,Woodruff,SC,Spartanburg,2
12503,29390,34.888237,-81.96902,Duncan,SC,Spartanburg,2
12504,29391,34.888237,-81.96902,Duncan,SC,Spartanburg,2
12505,29395,,,Jonesville,SC,Union,2
12506,29401,32.780326,-79.940844,Charleston,SC,Charleston,2
12507,29402,32.84885,-79.85773,Charleston,SC,Charleston,2
12508,29403,32.822390999999996,-79.965464,Charleston,SC,Charleston,2
12509,29404,32.898194000000004,-80.068564,Charleston Afb,SC,Charleston,2
12510,29405,32.853019,-79.991295,North Charleston,SC,Charleston,2
12511,29406,32.927344,-80.022009,Charleston,SC,Charleston,2
12512,29407,32.812039,-80.09312800000001,Charleston,SC,Charleston,2
12513,29409,32.84885,-79.85773,Charleston,SC,Charleston,2
12514,29410,33.192514,-80.03063,North Charleston,SC,Berkeley,2
12515,29412,32.717954,-79.953725,Charleston,SC,Charleston,2
12516,29413,32.84885,-79.85773,Charleston,SC,Charleston,2
12517,29414,32.810035,-80.02592800000001,Charleston,SC,Charleston,2
12518,29415,32.84885,-79.85773,North Charleston,SC,Charleston,2
12519,29416,32.84885,-79.85773,Charleston,SC,Charleston,2
12520,29417,32.84885,-79.85773,Charleston,SC,Charleston,2
12521,29418,32.89295,-80.045849,North Charleston,SC,Charleston,2
12522,29419,32.84885,-79.85773,North Charleston,SC,Charleston,2
12523,29420,33.014817,-80.195143,North Charleston,SC,Dorchester,2
12524,29422,32.84885,-79.85773,Charleston,SC,Charleston,2
12525,29423,32.84885,-79.85773,Charleston,SC,Charleston,2
12526,29424,32.783076,-79.93701,Charleston,SC,Charleston,2
12527,29425,32.786176,-79.94711,Charleston,SC,Charleston,2
12528,29426,32.779028000000004,-80.328772,Adams Run,SC,Charleston,2
12529,29429,33.006254,-79.65611899999999,Awendaw,SC,Charleston,2
12530,29430,33.214551,-79.81687099999999,Bethera,SC,Berkeley,2
12531,29431,33.270301,-79.87360600000001,Bonneau,SC,Berkeley,2
12532,29432,33.272290999999996,-80.792496,Branchville,SC,Orangeburg,2
12533,29433,33.061376,-80.631208,Canadys,SC,Colleton,2
12534,29434,33.136208,-79.88258,Cordesville,SC,Berkeley,2
12535,29435,32.778856,-80.42645999999999,Cottageville,SC,Colleton,2
12536,29436,33.298903,-80.123972,Cross,SC,Berkeley,2
12537,29437,33.14975,-80.49368299999999,Dorchester,SC,Dorchester,2
12538,29438,32.502398,-80.307509,Edisto Island,SC,Colleton,2
12539,29439,32.663043,-79.92697,Folly Beach,SC,Charleston,2
12540,29440,33.439327,-79.367525,Georgetown,SC,Georgetown,2
12541,29442,33.403693,-79.226361,Georgetown,SC,Georgetown,2
12542,29445,33.057972,-80.010088,Goose Creek,SC,Berkeley,2
